Record ID,Policy Number,Driver ID,Vehicle ID,Vehicle Model Year,Location ID,Total Premium
102,1028243,31243,49,2006,460,3450.5709
103,1028304,31304,38,2005,78,3246.5709
104,1028508,31508,62,2013,324,582.5709
105,1028701,31701,62,2010,235,2910.5709
106,1029308,32308,87,2008,190,2118.5709
107,1029617,32617,57,2007,411,2718.5709
108,1029698,32698,55,2011,178,2550.5709
109,1029777,32777,1,2009,164,2070.5709
110,1000138,3138,67,2011,60,2622.5709
111,1000225,3225,84,2009,200,3942.5709
112,1000305,3305,72,2006,433,2790.5709
113,1000369,3369,79,2005,293,3186.5709
114,1000434,3434,8,2005,47,2754.5709
115,1000521,3521,80,2011,95,2574.5709
116,1000723,3723,61,2013,198,2790.5709
117,1000726,3726,33,2006,66,3474.5709
118,1000785,3785,58,2010,424,2994.5709
119,1000822,3822,86,2010,86,2754.5709
120,1000948,3948,63,2008,454,3042.5709
121,1001073,4073,61,2009,463,3570.5709
122,1001320,4320,37,2013,31,1686.5709
123,1001376,4376,65,2012,299,1398.5709
124,1001500,4500,67,2009,459,2862.5709
125,1001750,4750,60,2013,411,1578.5709
126,1001983,4983,40,2013,42,1998.5709
127,1002097,5097,69,2005,97,3570.5709
128,1002114,5114,31,2011,436,3450.5709
129,1002384,5384,3,2005,276,2994.5709
130,1002607,5607,43,2010,408,3090.5709
131,1002725,5725,69,2007,318,2286.5709
132,1003047,6047,81,2007,162,2970.5709
133,1003256,6256,45,2013,359,2058.5709
134,1003396,6396,64,2006,220,3474.5709
135,1003409,6409,73,2011,273,1842.5709
136,1003545,6545,81,2007,134,2718.5709
137,1003876,6876,10,2007,96,3030.5709
138,1004018,7018,37,2007,155,1758.5709
139,1004039,7039,13,2005,227,2622.5709
140,1004129,7129,63,2009,377,1902.5709
141,1004143,7143,64,2006,558,3450.5709
142,1004210,7210,47,2012,264,1530.5709
143,1004224,7224,77,2006,77,3834.5709
144,1004244,7244,23,2010,103,2982.5709
145,1004354,7354,4,2008,198,2790.5709
146,1004472,7472,78,2006,140,4902.5709
147,1004504,7504,31,2005,132,3114.5709
148,1004604,7604,57,2012,196,2214.5709
149,1004667,7667,70,2008,267,2574.5709
150,1004906,7906,87,2013,349,2886.5709
151,1004915,7915,81,2012,421,2094.5709
152,1004928,7928,15,2012,63,1458.5709
153,1005173,8173,74,2007,543,5166.5709
154,1005275,8275,69,2005,479,3414.5709
155,1005317,8317,38,2012,67,3198.5709
156,1005416,8416,83,2007,93,3318.5709
157,1005512,8512,30,2008,417,3966.5709
158,1005654,8654,80,2007,525,2262.5709
159,1005797,8797,29,2012,504,2070.5709
160,1005820,8820,60,2011,106,2250.5709
161,1005939,8939,62,2010,545,2826.5709
162,1005967,8967,74,2008,445,3138.5709
163,1005991,8991,50,2005,185,3162.5709
164,1006202,9202,81,2010,205,1746.5709
165,1006224,9224,69,2013,322,1662.5709
166,1006298,9298,22,2006,286,3558.5709
167,1006516,9516,75,2007,590,2934.5709
168,1006603,9603,31,2011,550,1434.5709
169,1006646,9646,52,2006,533,4038.5709
170,1006828,9828,45,2007,345,5478.5709
171,1006893,9893,45,2011,161,2442.5709
172,1006999,9999,80,2009,578,3354.5709
173,1007232,10232,68,2010,395,2862.5709
174,1007310,10310,31,2013,457,1686.5709
175,1007426,10426,48,2013,68,1698.5709
176,1007753,10753,61,2006,141,2790.5709
177,1007980,10980,78,2005,133,2838.5709
178,1008050,11050,70,2011,587,2490.5709
179,1008168,11168,75,2006,90,3786.5709
180,1008255,11255,53,2009,221,3918.5709
181,1008264,11264,21,2005,175,3678.5709
182,1008276,11276,77,2007,600,2274.5709
183,1008380,11380,79,2009,226,2730.5709
184,1008529,11529,52,2007,302,2886.5709
185,1008551,11551,70,2011,172,2790.5709
186,1008552,11552,85,2012,118,2790.5709
187,1008612,11612,39,2008,29,2310.5709
188,1008690,11690,78,2005,377,2586.5709
189,1008697,11697,55,2010,215,1446.5709
190,1008760,11760,65,2010,550,2238.5709
191,1008762,11762,63,2008,83,3006.5709
192,1008894,11894,49,2006,529,3066.5709
193,1008927,11927,68,2011,370,2070.5709
194,1008943,11943,68,2013,341,3138.5709
195,1009075,12075,75,2010,187,3006.5709
196,1009161,12161,52,2012,177,2046.5709
197,1009252,12252,85,2009,128,3054.5709
198,1009291,12291,43,2012,514,2166.5709
199,1009670,12670,51,2007,463,2766.5709
200,1009745,12745,83,2013,240,2142.5709
201,1009762,12762,85,2006,38,3954.5709
202,1009951,12951,23,2008,135,3342.5709
203,1010002,13002,53,2012,196,2466.5709
204,1010065,13065,79,2005,517,4362.5709
205,1010091,13091,71,2012,233,2586.5709
206,1010232,13232,65,2006,445,3534.5709
207,1010238,13238,60,2011,44,2646.5709
208,1010246,13246,43,2013,359,2790.5709
209,1010264,13264,28,2007,324,3702.5709
210,1010399,13399,87,2006,1,2598.5709
211,1010409,13409,77,2011,291,2178.5709
212,1010416,13416,9,2007,138,4362.5709
213,1010520,13520,43,2010,69,1626.5709
214,1010526,13526,45,2013,25,2142.5709
215,1011258,14258,64,2009,559,1506.5709
216,1011259,14259,75,2010,82,3090.5709
217,1011391,14391,79,2012,47,2706.5709
218,1011463,14463,35,2013,325,2094.5709
219,1011634,14634,40,2005,61,2262.5709
220,1012135,15135,40,2012,532,1626.5709
221,1012152,15152,65,2009,466,1962.5709
222,1012228,15228,52,2009,536,3174.5709
223,1012275,15275,69,2007,252,2742.5709
224,1012647,15647,36,2011,33,2334.5709
225,1012679,15679,43,2012,46,2286.5709
226,1012717,15717,82,2011,135,2670.5709
227,1012733,15733,40,2011,302,3330.5709
228,1012744,15744,16,2005,412,3606.5709
229,1012810,15810,63,2012,77,2202.5709
230,1012888,15888,41,2010,259,3366.5709
231,1013092,16092,83,2011,314,2982.5709
232,1013115,16115,38,2005,194,3942.5709
233,1013241,16241,51,2010,149,1770.5709
234,1013317,16317,29,2010,84,2874.5709
235,1013371,16371,10,2005,244,4350.5709
236,1013444,16444,6,2006,117,2958.5709
237,1013454,16454,40,2012,242,1542.5709
238,1013756,16756,58,2010,116,1746.5709
239,1013802,16802,55,2010,595,2622.5709
240,1013813,16813,52,2012,332,2322.5709
241,1013857,16857,87,2009,170,3342.5709
242,1014039,17039,1,2009,359,1410.5709
243,1014160,17160,75,2007,255,3498.5709
244,1014218,17218,42,2009,347,3126.5709
245,1014300,17300,54,2007,318,4074.5709
246,1014467,17467,72,2005,485,4566.5709
247,1014493,17493,83,2005,40,2514.5709
248,1014659,17659,30,2009,377,3138.5709
249,1014687,17687,9,2009,387,3162.5709
250,1014970,17970,49,2006,201,3978.5709
251,1015206,18206,67,2011,385,2886.5709
252,1015325,18325,48,2013,35,3006.5709
253,1015387,18387,72,2005,472,3834.5709
254,1015392,18392,58,2005,264,3018.5709
255,1015548,18548,36,2008,321,2250.5709
256,1015612,18612,82,2010,513,2022.5709
257,1015815,18815,85,2013,33,2598.5709
258,1015865,18865,66,2009,471,1902.5709
259,1015966,18966,49,2005,412,2886.5709
260,1016033,19033,71,2009,548,3294.5709
261,1016039,19039,69,2007,568,2334.5709
262,1016154,19154,51,2013,90,2202.5709
263,1016194,19194,45,2006,305,4062.5709
264,1016293,19293,33,2007,363,3774.5709
265,1016311,19311,79,2011,138,4362.5709
266,1016341,19341,55,2006,383,3066.5709
267,1016432,19432,68,2009,412,2994.5709
268,1016438,19438,66,2011,527,2994.5709
269,1016454,19454,64,2005,218,4398.5709
270,1016504,19504,36,2011,525,2610.5709
271,1016552,19552,76,2013,90,1998.5709
272,1016579,19579,16,2005,275,3726.5709
273,1016637,19637,35,2012,316,2130.5709
274,1016912,19912,50,2013,505,1098.5709
275,1016965,19965,35,2010,287,1530.5709
276,1017036,20036,6,2011,110,2442.5709
277,1017274,20274,75,2013,398,1590.5709
278,1017375,20375,57,2007,349,2802.5709
279,1017500,20500,64,2013,268,1446.5709
280,1017514,20514,39,2009,128,2658.5709
281,1017535,20535,75,2005,529,3414.5709
282,1017607,20607,51,2008,124,3810.5709
283,1017691,20691,18,2012,350,2082.5709
284,1017789,20789,73,2009,313,2790.5709
285,1017900,20900,86,2006,329,4266.5709
286,1017930,20930,51,2011,5,2106.5709
287,1017958,20958,75,2010,505,2670.5709
288,1017998,20998,81,2008,454,2046.5709
289,1018022,21022,78,2012,455,1482.5709
290,1018230,21230,43,2007,326,3222.5709
291,1018238,21238,80,2006,424,4734.5709
292,1018254,21254,59,2010,364,1854.5709
293,1018526,21526,58,2008,442,2622.5709
294,1018575,21575,78,2006,570,2406.5709
295,1018644,21644,28,2011,155,2766.5709
296,1018653,21653,14,2008,366,3726.5709
297,1018688,21688,58,2013,219,1470.5709
298,1018732,21732,87,2007,43,2226.5709
299,1018736,21736,79,2009,318,2598.5709
300,1018838,21838,59,2008,491,2130.5709
301,1019001,22001,24,2009,351,1710.5709
302,1019384,22384,65,2013,265,2766.5709
303,1019425,22425,68,2005,364,4854.5709
304,1019445,22445,43,2010,239,3246.5709
305,1019522,22522,75,2011,349,1602.5709
306,1019592,22592,48,2013,166,2346.5709
307,1019739,22739,75,2010,443,1866.5709
308,1019754,22754,87,2012,575,2502.5709
309,1019757,22757,64,2011,85,3714.5709
310,1019815,22815,11,2008,178,3042.5709
311,1019968,22968,10,2008,19,2562.5709
312,1020082,23082,67,2012,331,1686.5709
313,1020190,23190,71,2010,226,1950.5709
314,1020255,23255,51,2010,472,5214.5709
315,1020307,23307,51,2012,457,1554.5709
316,1020366,23366,73,2006,25,2718.5709
317,1020391,23391,56,2005,213,4182.5709
318,1020405,23405,54,2013,402,3042.5709
319,1020474,23474,64,2008,30,2418.5709
320,1020661,23661,53,2005,72,4206.5709
321,1020956,23956,42,2006,59,2634.5709
322,1021014,24014,49,2009,472,4530.5709
323,1021044,24044,2,2005,307,3018.5709
324,1021151,24151,44,2005,98,3654.5709
325,1021158,24158,66,2010,544,3738.5709
326,1021280,24280,10,2007,296,3210.5709
327,1021294,24294,43,2012,40,2466.5709
328,1021576,24576,87,2006,56,3510.5709
329,1021717,24717,40,2012,185,1506.5709
330,1021766,24766,49,2013,337,2022.5709
331,1021796,24796,58,2008,7,2106.5709
332,1022040,25040,64,2007,223,4110.5709
333,1022085,25085,64,2007,461,2730.5709
334,1022108,25108,79,2011,375,2826.5709
335,1022111,25111,82,2005,513,2994.5709
336,1022165,25165,47,2007,15,3558.5709
337,1022227,25227,38,2012,465,2346.5709
338,1022309,25309,35,2009,379,2202.5709
339,1022355,25355,48,2009,338,3810.5709
340,1022491,25491,83,2009,38,4230.5709
341,1022573,25573,45,2011,1,1902.5709
342,1022735,25735,85,2005,270,4194.5709
343,1022736,25736,82,2010,336,2610.5709
344,1022879,25879,54,2010,575,2598.5709
345,1022996,25996,71,2010,265,1410.5709
346,1023174,26174,70,2013,7,2886.5709
347,1023199,26199,10,2011,45,2706.5709
348,1023255,26255,61,2012,485,2274.5709
349,1023352,26352,8,2011,40,1974.5709
350,1023370,26370,51,2011,427,2886.5709
351,1023403,26403,62,2008,18,3666.5709
352,1023431,26431,57,2010,381,2646.5709
353,1023466,26466,65,2008,266,2910.5709
354,1023673,26673,72,2005,521,3510.5709
355,1023723,26723,80,2008,484,2550.5709
356,1023776,26776,44,2009,133,2598.5709
357,1023788,26788,82,2006,508,3054.5709
358,1024080,27080,63,2006,523,3234.5709
359,1024162,27162,54,2007,464,3762.5709
360,1024217,27217,2,2009,308,2478.5709
361,1024332,27332,19,2011,267,2478.5709
362,1024402,27402,46,2007,297,4014.5709
363,1024421,27421,68,2011,354,1854.5709
364,1024432,27432,84,2007,417,3678.5709
365,1024441,27441,39,2007,195,3462.5709
366,1024455,27455,76,2010,479,3882.5709
367,1024469,27469,78,2012,447,1674.5709
368,1024504,27504,77,2006,583,2946.5709
369,1024607,27607,63,2012,577,2046.5709
370,1024654,27654,59,2011,539,2394.5709
371,1024791,27791,80,2009,361,2646.5709
372,1024867,27867,8,2013,480,2298.5709
373,1024905,27905,54,2009,283,3630.5709
374,1024918,27918,36,2008,358,2718.5709
375,1024967,27967,61,2008,279,2886.5709
376,1025051,28051,74,2012,211,1866.5709
377,1025070,28070,41,2013,255,3138.5709
378,1025098,28098,67,2007,527,2130.5709
379,1025151,28151,58,2012,406,3018.5709
380,1025171,28171,72,2005,154,3666.5709
381,1025455,28455,61,2006,573,3714.5709
382,1025456,28456,85,2007,328,3762.5709
383,1025467,28467,84,2011,237,4062.5709
384,1025475,28475,86,2011,436,2610.5709
385,1025806,28806,72,2006,568,3246.5709
386,1025849,28849,55,2011,261,2466.5709
387,1025995,28995,45,2012,123,2754.5709
388,1026000,29000,16,2013,27,726.5709
389,1026026,29026,72,2010,91,3534.5709
390,1026063,29063,62,2013,501,1566.5709
391,1026092,29092,39,2009,394,2394.5709
392,1026147,29147,40,2012,231,678.5709
393,1026216,29216,87,2012,285,2982.5709
394,1026361,29361,75,2007,86,4146.5709
395,1026398,29398,64,2013,124,2706.5709
396,1026419,29419,51,2010,32,2406.5709
397,1026491,29491,12,2007,250,3162.5709
398,1026582,29582,82,2011,16,2478.5709
399,1026697,29697,39,2012,589,1698.5709
400,1027030,30030,30,2009,422,2790.5709
401,1027136,30136,84,2013,421,2706.5709
402,1027163,30163,57,2011,51,3030.5709
403,1027282,30282,83,2011,84,3966.5709
404,1027358,30358,65,2007,468,4062.5709
405,1027453,30453,69,2006,314,3822.5709
406,1027502,30502,57,2013,460,1950.5709
407,1027575,30575,50,2006,520,2922.5709
408,1027693,30693,61,2007,17,3558.5709
409,1027997,30997,13,2008,393,2010.5709
410,1028020,31020,34,2008,278,3450.5709
411,1028102,31102,47,2010,107,2274.5709
412,1028106,31106,22,2007,347,1986.5709
413,1028121,31121,19,2011,204,1254.5709
414,1028146,31146,73,2008,457,2946.5709
415,1028173,31173,14,2006,168,2406.5709
416,1028280,31280,64,2005,339,4098.5709
417,1028767,31767,27,2011,45,2274.5709
418,1028822,31822,3,2008,309,2034.5709
419,1028858,31858,82,2005,597,4386.5709
420,1029011,32011,50,2007,505,2598.5709
421,1029152,32152,2,2013,491,3450.5709
422,1029158,32158,1,2006,76,3102.5709
423,1029345,32345,13,2012,216,2514.5709
424,1029398,32398,22,2009,154,2994.5709
425,1029409,32409,77,2006,416,3066.5709
426,1029634,32634,76,2008,146,3654.5709
427,1029719,32719,62,2007,318,3966.5709
428,1029725,32725,37,2007,97,3474.5709
429,1029827,32827,39,2007,406,3486.5709
430,1029864,32864,40,2013,354,1902.5709
431,1029927,32927,74,2005,524,2070.5709
432,1029963,32963,72,2009,311,3186.5709
433,1003197,6197,55,2009,154,2574.5709
434,1005107,8107,71,2007,150,5322.5709
435,1006043,9043,31,2007,259,2694.5709
436,1013292,16292,31,2011,409,2970.5709
437,1023447,26447,48,2013,43,1518.5709
438,1000072,3072,84,2012,184,2958.5709
439,1000149,3149,63,2006,96,3042.5709
440,1000793,3793,84,2009,202,2874.5709
441,1001202,4202,43,2010,79,2010.5709
442,1002055,5055,57,2013,36,1230.5709
443,1002448,5448,78,2008,322,2598.5709
444,1002871,5871,11,2007,214,4242.5709
445,1003514,6514,60,2012,600,3066.5709
446,1003622,6622,9,2012,283,1938.5709
447,1003947,6947,66,2008,45,3534.5709
448,1004029,7029,49,2008,450,2502.5709
449,1004252,7252,23,2006,228,3282.5709
450,1004381,7381,35,2008,205,3342.5709
451,1004682,7682,12,2008,127,3198.5709
452,1005019,8019,51,2009,584,2922.5709
453,1005103,8103,39,2008,223,3066.5709
454,1005239,8239,37,2011,390,3390.5709
455,1005251,8251,46,2012,295,2622.5709
456,1005361,8361,72,2005,468,3366.5709
457,1005918,8918,30,2005,302,3066.5709
458,1006282,9282,79,2008,38,3114.5709
459,1007114,10114,63,2006,355,3498.5709
460,1007713,10713,55,2013,172,2406.5709
461,1007922,10922,21,2007,25,2922.5709
462,1008104,11104,5,2007,119,2994.5709
463,1008402,11402,87,2006,274,3918.5709
464,1008629,11629,85,2009,89,2298.5709
465,1008966,11966,45,2008,215,3114.5709
466,1009498,12498,74,2005,232,4002.5709
467,1009830,12830,15,2011,214,2586.5709
468,1009983,12983,74,2006,595,3786.5709
469,1010813,13813,81,2011,102,4086.5709
470,1011070,14070,27,2011,316,2094.5709
471,1011701,14701,55,2011,164,3102.5709
472,1012113,15113,47,2010,402,2682.5709
473,1012698,15698,78,2011,432,2490.5709
474,1012873,15873,46,2011,542,1554.5709
475,1013991,16991,76,2009,62,2730.5709
476,1014143,17143,86,2013,418,3582.5709
477,1014197,17197,83,2006,44,3510.5709
478,1014423,17423,80,2010,447,2130.5709
479,1014433,17433,44,2009,9,2538.5709
480,1014488,17488,78,2007,528,2130.5709
481,1014702,17702,29,2008,42,2862.5709
482,1015044,18044,37,2006,15,4182.5709
483,1015182,18182,64,2008,302,2502.5709
484,1015249,18249,74,2006,596,2730.5709
485,1016048,19048,37,2009,31,2430.5709
486,1016152,19152,47,2011,509,1854.5709
487,1016405,19405,58,2008,326,3414.5709
488,1016996,19996,51,2005,481,4326.5709
489,1017337,20337,35,2010,118,2550.5709
490,1017395,20395,42,2010,105,3390.5709
491,1018074,21074,83,2008,432,3882.5709
492,1018641,21641,40,2011,27,1434.5709
493,1018749,21749,56,2008,16,3042.5709
494,1018823,21823,38,2007,430,1722.5709
495,1019256,22256,84,2005,367,3174.5709
496,1019702,22702,47,2005,151,3462.5709
497,1019868,22868,74,2013,451,2346.5709
498,1020452,23452,30,2008,134,3606.5709
499,1021240,24240,82,2010,233,3894.5709
500,1021410,24410,79,2010,384,3282.5709
501,1021451,24451,68,2011,155,2670.5709
502,1022390,25390,48,2005,28,3222.5709
503,1022699,25699,76,2011,113,3510.5709
504,1022989,25989,20,2009,69,3810.5709
505,1023342,26342,68,2006,517,3150.5709
506,1024042,27042,40,2011,300,4002.5709
507,1024348,27348,36,2011,324,3474.5709
508,1024862,27862,7,2007,90,3702.5709
509,1025065,28065,78,2005,164,3690.5709
510,1025084,28084,51,2012,195,1350.5709
511,1025243,28243,51,2011,139,3354.5709
512,1025501,28501,52,2007,290,3918.5709
513,1025919,28919,30,2011,192,2322.5709
514,1026584,29584,36,2005,342,4650.5709
515,1026762,29762,68,2006,156,2418.5709
516,1026775,29775,72,2005,199,3834.5709
517,1027159,30159,85,2006,3,4278.5709
518,1027516,30516,53,2008,476,2514.5709
519,1027865,30865,78,2008,468,3030.5709
520,1027920,30920,24,2012,207,2250.5709
521,1028245,31245,76,2009,342,2778.5709
522,1028357,31357,21,2006,230,3018.5709
523,1028738,31738,6,2006,429,4110.5709
524,1029432,32432,1,2012,465,2598.5709
525,1029856,32856,74,2011,522,2070.5709
526,1000106,3106,19,2011,41,4590.5709
527,1000320,3320,49,2007,161,2130.5709
528,1000400,3400,50,2010,33,2958.5709
529,1000527,3527,75,2012,497,2394.5709
530,1000572,3572,43,2013,79,2502.5709
531,1000576,3576,86,2013,146,666.5709
532,1000690,3690,76,2008,75,3726.5709
533,1000877,3877,66,2008,478,3042.5709
534,1000976,3976,58,2013,361,2694.5709
535,1001246,4246,58,2005,231,3354.5709
536,1001343,4343,76,2007,256,4698.5709
537,1001389,4389,73,2008,217,3618.5709
538,1001392,4392,59,2013,504,2106.5709
539,1001488,4488,46,2009,323,3318.5709
540,1001574,4574,55,2006,219,3222.5709
541,1001636,4636,69,2013,93,1890.5709
542,1001944,4944,30,2013,316,2382.5709
543,1001975,4975,32,2013,65,2934.5709
544,1002005,5005,33,2010,84,1614.5709
545,1002021,5021,58,2006,307,3378.5709
546,1002192,5192,54,2009,106,3258.5709
547,1002427,5427,75,2009,159,2742.5709
548,1002434,5434,24,2006,266,3690.5709
549,1002534,5534,50,2008,263,2478.5709
550,1002621,5621,12,2006,30,3462.5709
551,1002731,5731,61,2005,440,3078.5709
552,1003087,6087,35,2007,299,3018.5709
553,1003369,6369,71,2005,441,3762.5709
554,1003370,6370,75,2007,247,3270.5709
555,1003422,6422,81,2011,355,2826.5709
556,1003446,6446,64,2010,468,2718.5709
557,1003463,6463,10,2010,110,3186.5709
558,1003507,6507,61,2009,135,3198.5709
559,1003655,6655,75,2007,121,3450.5709
560,1003667,6667,75,2005,107,3858.5709
561,1003782,6782,50,2008,172,3330.5709
562,1003890,6890,72,2006,511,2790.5709
563,1003892,6892,82,2008,19,2250.5709
564,1004010,7010,41,2009,329,4170.5709
565,1004053,7053,53,2007,42,3378.5709
566,1004075,7075,13,2008,265,2562.5709
567,1004199,7199,77,2010,99,3774.5709
568,1004307,7307,14,2011,126,4170.5709
569,1004448,7448,40,2007,46,3318.5709
570,1004545,7545,44,2012,211,2130.5709
571,1004712,7712,61,2007,20,3030.5709
572,1004767,7767,59,2008,85,2994.5709
573,1004918,7918,47,2010,212,3222.5709
574,1004968,7968,13,2012,228,4002.5709
575,1005299,8299,37,2008,141,3306.5709
576,1005325,8325,59,2008,325,3762.5709
577,1005352,8352,61,2009,589,2958.5709
578,1005541,8541,54,2008,551,4638.5709
579,1005741,8741,83,2005,18,4302.5709
580,1005760,8760,57,2013,240,2598.5709
581,1005775,8775,49,2005,536,4326.5709
582,1005944,8944,77,2007,215,2142.5709
583,1005963,8963,40,2006,293,1914.5709
584,1005978,8978,57,2013,316,2934.5709
585,1006036,9036,27,2009,145,2526.5709
586,1006176,9176,35,2013,268,2010.5709
587,1006253,9253,29,2010,126,1626.5709
588,1006278,9278,69,2006,70,3822.5709
589,1006286,9286,12,2011,435,3042.5709
590,1006351,9351,59,2005,103,6042.5709
591,1006717,9717,61,2011,100,1986.5709
592,1006725,9725,64,2006,510,3738.5709
593,1006831,9831,47,2008,143,3582.5709
594,1006995,9995,66,2007,533,2694.5709
595,1007151,10151,47,2005,9,3870.5709
596,1007175,10175,66,2010,477,2370.5709
597,1007259,10259,63,2008,47,2598.5709
598,1007489,10489,63,2005,585,4086.5709
599,1007517,10517,54,2013,96,1350.5709
600,1007767,10767,53,2008,181,2526.5709
601,1007785,10785,46,2009,316,2478.5709
602,1008044,11044,28,2011,71,2238.5709
603,1008123,11123,64,2009,436,3018.5709
604,1008127,11127,48,2010,285,2298.5709
605,1008205,11205,75,2009,443,3138.5709
606,1008256,11256,49,2008,274,3462.5709
607,1008363,11363,54,2009,205,3534.5709
608,1008386,11386,62,2005,525,3126.5709
609,1008406,11406,82,2012,133,2442.5709
610,1008424,11424,66,2010,563,1434.5709
611,1008477,11477,72,2012,564,2586.5709
612,1008645,11645,69,2012,547,2238.5709
613,1008677,11677,40,2009,163,2682.5709
614,1008716,11716,40,2010,217,2382.5709
615,1008772,11772,55,2009,18,2202.5709
616,1008836,11836,67,2010,196,2490.5709
617,1009160,12160,11,2005,291,3918.5709
618,1009246,12246,63,2009,229,3498.5709
619,1009250,12250,33,2005,358,3366.5709
620,1009286,12286,82,2009,86,3450.5709
621,1009328,12328,75,2012,478,2454.5709
622,1009365,12365,39,2008,400,2490.5709
623,1009659,12659,12,2006,396,2622.5709
624,1009812,12812,54,2005,178,4626.5709
625,1009943,12943,10,2013,225,2634.5709
626,1010014,13014,55,2011,71,3330.5709
627,1010116,13116,1,2011,221,1650.5709
628,1010223,13223,82,2010,468,2562.5709
629,1010328,13328,38,2012,501,2778.5709
630,1010352,13352,63,2011,162,2970.5709
631,1010449,13449,46,2013,72,1878.5709
632,1010490,13490,40,2011,185,1698.5709
