Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1000062,2012-04-29,2012-10-28,19,4,
1000063,2012-09-15,2013-09-15,9,6,
1000064,2011-11-17,2012-11-17,12,6,
1000065,2013-09-19,2014-03-22,11,2,
1000066,2011-12-14,2012-12-14,16,7,
1000067,2013-06-29,2014-06-29,16,4,
1000068,2011-10-31,2012-10-31,10,1,
1000069,2012-01-03,2012-07-04,19,2,
1000070,2010-12-05,2011-12-06,3,4,
1000071,2012-04-24,2012-10-24,3,6,
1000072,2013-05-09,2014-05-09,17,1,
1000073,2012-02-27,2013-02-27,19,6,
1000074,2013-08-26,2014-08-26,19,3,
1000075,2012-01-12,2012-07-14,16,5,
1000076,2012-02-04,2012-08-04,20,1,
1000077,2013-04-21,2013-10-21,11,5,
1000078,2012-12-04,2013-06-04,16,5,
1000079,2012-09-23,2013-09-23,9,4,
1000080,2013-10-15,2014-04-17,2,4,
1000081,2013-05-17,2014-05-17,6,6,
1000082,2013-08-06,2014-08-06,16,7,
1000083,2010-11-20,2011-11-20,8,1,
1000084,2010-10-09,2011-10-09,10,6,
1000085,2012-07-12,2013-07-12,16,6,
1000086,2013-01-03,2013-07-04,15,2,
1000087,2011-10-26,2012-04-25,16,1,
1000088,2013-04-15,2014-04-15,9,2,
1000089,2012-06-11,2012-12-12,7,3,
1000090,2012-10-02,2013-10-02,8,7,
1000091,2012-11-05,2013-11-05,12,6,
1000092,2012-12-28,2013-12-28,6,5,
1000093,2011-12-29,2012-06-29,14,2,2012-04-11
1000094,2012-07-22,2013-01-21,20,7,
1000095,2011-09-09,2012-03-11,1,6,
1000096,2011-11-19,2012-11-19,8,2,
1000097,2014-05-20,2014-11-18,17,1,
1000098,2012-12-11,2013-12-11,16,1,
1000099,2013-09-03,2014-03-03,10,6,
1000100,2012-12-14,2013-12-14,6,7,
1000101,2010-08-11,2011-02-08,13,2,
1000102,2012-05-18,2012-11-16,16,6,
1000103,2012-06-02,2013-06-03,14,7,
1000104,2013-03-08,2014-03-08,12,2,
1000105,2013-05-03,2013-11-02,17,7,
1000106,2014-03-10,2015-03-10,2,1,
1000107,2012-08-19,2013-02-19,1,3,2012-12-01
1000108,2012-08-31,2013-08-31,1,1,
1000109,2013-02-02,2013-08-05,7,7,
1000110,2013-10-18,2014-10-18,12,7,
1000111,2012-04-28,2013-04-28,20,4,
1000112,2012-09-26,2013-09-26,7,5,
1000113,2011-08-24,2012-02-23,13,1,
1000114,2010-12-05,2011-06-04,7,3,
1000115,2012-08-10,2013-02-10,14,4,
1000116,2011-01-09,2011-07-12,16,4,
1000117,2012-01-26,2012-07-27,4,5,
1000118,2010-12-07,2011-06-08,20,3,2011-04-23
1000119,2012-07-19,2013-01-19,14,2,
1000120,2013-02-21,2013-08-24,1,2,
1000121,2011-09-03,2012-03-03,6,4,2011-11-03
1000122,2012-04-20,2013-04-21,11,7,
1000123,2010-08-14,2011-08-14,7,3,
1000124,2013-10-18,2014-04-18,16,5,
1000125,2012-03-11,2012-09-09,2,7,
1000126,2012-01-24,2013-01-23,17,7,
1000127,2012-03-21,2012-09-20,19,1,
1000128,2013-04-19,2013-10-17,6,2,
1000129,2011-09-06,2012-03-06,14,1,
1000130,2011-04-29,2011-10-27,11,5,
1000131,2012-02-12,2013-02-12,6,3,
1000132,2012-11-03,2013-11-03,15,1,
1000133,2010-12-13,2011-12-14,19,4,
1000134,2011-07-11,2012-07-11,1,2,
1000135,2011-03-13,2011-09-12,3,5,
1000136,2013-06-05,2013-12-04,8,7,
1000137,2012-04-30,2012-10-29,2,7,
1000138,2013-10-16,2014-10-16,10,5,
1000139,2013-03-01,2014-03-01,7,2,
1000140,2012-08-20,2013-08-20,7,7,
1000141,2013-05-21,2013-11-18,2,1,
1000142,2013-09-17,2014-09-17,9,1,
1000143,2011-02-25,2012-02-26,3,7,
1000144,2012-06-08,2012-12-07,6,4,
1000145,2013-07-10,2014-07-10,9,1,
1000146,2012-02-25,2013-02-25,20,2,
1000147,2011-05-24,2011-11-22,7,7,
1000148,2012-05-29,2012-11-28,18,7,
1000149,2013-11-21,2014-11-21,9,4,
1000150,2011-10-23,2012-04-23,9,2,
1000151,2013-11-07,2014-11-07,5,1,
1000152,2014-02-01,2014-08-01,8,2,
1000153,2013-03-28,2013-09-28,7,1,
1000154,2013-02-07,2013-08-08,8,7,
1000155,2011-03-20,2012-03-20,15,6,
1000156,2013-01-15,2014-01-15,20,6,
1000157,2012-05-26,2012-11-25,4,3,
1000158,2013-02-15,2014-02-15,16,5,
1000159,2011-06-24,2012-06-24,19,3,2012-05-08
1000160,2010-10-24,2011-10-25,10,1,
1000161,2011-01-01,2012-01-02,6,1,
1000162,2011-06-29,2012-06-29,8,2,
1000163,2013-08-07,2014-08-07,10,1,
1000164,2013-01-24,2013-07-24,5,7,
1000165,2011-11-08,2012-05-09,4,5,
1000166,2012-09-06,2013-09-06,7,3,
1000167,2013-01-23,2014-01-23,4,4,
1000168,2011-10-30,2012-10-30,9,4,
1000169,2012-08-15,2013-02-12,5,3,2013-01-10
1000170,2011-09-01,2012-03-02,18,3,
1000171,2012-01-17,2013-01-16,3,4,
1000172,2013-09-14,2014-03-16,6,1,
1000173,2011-11-20,2012-11-19,12,3,2012-09-07
1000174,2011-05-13,2012-05-13,7,6,
1000175,2010-10-13,2011-10-13,15,1,
1000176,2012-12-09,2013-12-09,19,4,
1000177,2012-11-26,2013-05-26,6,5,
1000178,2012-05-22,2013-05-22,12,5,2013-03-01
1000179,2011-03-22,2012-03-22,8,3,
1000180,2011-06-28,2012-06-28,10,2,
1000181,2011-04-27,2012-04-26,9,3,
1000182,2013-02-11,2014-02-11,14,2,
1000183,2013-10-22,2014-10-22,16,7,
1000184,2013-12-10,2014-06-12,16,6,
1000185,2011-10-10,2012-04-09,15,7,
1000186,2011-01-05,2012-01-05,6,1,
1000187,2011-09-21,2012-03-21,20,2,
1000188,2013-03-19,2014-03-19,11,5,
1000189,2012-08-09,2013-08-09,19,3,
1000190,2013-07-16,2014-01-13,12,5,
1000191,2012-05-19,2012-11-19,12,2,2012-09-01
1000192,2011-12-12,2012-12-11,8,2,2012-09-21
1000193,2012-01-27,2013-01-26,12,3,
1000194,2013-12-31,2014-07-01,9,7,
1000195,2010-10-07,2011-04-09,17,3,
1000196,2013-06-10,2014-06-10,2,4,
1000197,2011-04-06,2012-04-06,2,3,
1000198,2011-09-17,2012-09-17,8,6,
1000199,2013-04-14,2013-10-14,20,4,
1000200,2010-08-31,2011-08-31,14,3,
1000201,2013-02-20,2013-08-22,4,6,
1000202,2012-03-28,2013-03-29,13,3,
1000203,2012-02-21,2012-08-23,12,3,
1000204,2011-08-20,2012-02-19,13,4,
1000205,2011-06-17,2011-12-15,6,3,
1000206,2011-07-04,2012-07-04,6,3,
1000207,2011-03-18,2011-09-17,2,2,
1000208,2011-03-18,2012-03-18,14,6,
1000209,2012-08-25,2013-02-24,1,7,
1000210,2012-03-13,2013-03-13,17,4,
1000211,2012-11-07,2013-11-07,14,5,
1000212,2013-10-21,2014-10-21,1,4,
1000213,2013-09-20,2014-03-23,3,7,
1000214,2011-09-26,2012-09-26,13,6,
1000215,2011-10-22,2012-10-22,14,3,
1000216,2011-10-19,2012-04-20,4,1,
1000217,2011-12-29,2012-06-28,3,4,
1000218,2012-08-27,2013-02-24,1,1,
1000219,2011-04-05,2012-04-04,15,2,
1000220,2012-11-06,2013-11-06,10,2,
1000221,2013-07-17,2014-01-15,19,6,
1000222,2010-08-28,2011-02-25,3,2,2010-09-29
1000223,2012-02-17,2012-08-17,6,6,
1000224,2013-05-29,2014-05-29,7,7,
1000225,2014-02-28,2015-02-28,18,7,
1000226,2011-03-13,2012-03-13,5,2,
1000227,2011-03-18,2012-03-18,9,2,
1000228,2013-05-25,2014-05-25,17,5,2014-04-20
1000229,2011-11-23,2012-05-24,5,2,
1000230,2011-04-22,2012-04-22,7,5,
1000231,2011-05-30,2011-11-30,13,2,
1000232,2012-05-24,2013-05-24,15,6,
1000233,2012-12-20,2013-12-20,13,5,
1000234,2013-11-19,2014-05-22,3,1,
1000235,2012-05-08,2012-11-05,19,6,
1000236,2014-03-11,2014-09-09,3,4,
1000237,2012-11-25,2013-11-25,18,7,
1000238,2012-03-05,2013-03-06,1,3,
1000239,2011-10-20,2012-10-19,13,2,
1000240,2012-05-23,2012-11-23,10,6,
1000241,2012-11-20,2013-05-23,5,5,
1000242,2011-06-03,2012-06-03,18,6,
1000243,2012-05-26,2013-05-27,19,5,
1000244,2014-03-26,2014-09-24,1,5,
1000245,2012-04-05,2013-04-05,18,6,
1000246,2012-03-24,2012-09-24,16,3,
1000247,2011-07-23,2012-01-22,16,7,
1000248,2011-09-14,2012-03-15,5,4,2011-09-15
1000249,2011-02-21,2012-02-22,3,6,
1000250,2013-05-18,2014-05-18,10,6,
1000251,2013-12-14,2014-06-13,15,6,
1000252,2010-10-12,2011-04-13,20,7,
1000253,2012-09-29,2013-09-29,18,7,
1000254,2013-01-24,2014-01-24,20,3,
1000255,2011-04-10,2011-10-10,9,1,
1000256,2012-02-06,2012-08-06,10,1,
1000257,2012-01-22,2012-07-24,11,5,
1000258,2012-08-24,2013-08-24,15,3,
1000259,2013-02-16,2014-02-16,13,2,
1000260,2011-02-18,2011-08-20,5,5,
1000261,2014-01-06,2014-07-09,18,6,
1000262,2014-01-25,2014-07-28,2,5,
1000263,2012-08-07,2013-08-07,11,4,
1000264,2011-11-25,2012-11-25,10,6,
1000265,2011-03-27,2011-09-27,1,7,2011-08-18
1000266,2011-06-17,2011-12-17,14,2,
1000267,2013-05-17,2014-05-17,10,2,
1000268,2013-12-19,2014-12-19,1,5,
1000269,2012-07-17,2013-01-16,16,1,
1000270,2012-04-30,2012-10-29,10,6,
1000271,2012-09-29,2013-03-29,5,5,
1000272,2012-09-14,2013-03-16,2,7,
1000273,2012-09-10,2013-03-12,12,3,
1000274,2011-06-05,2011-12-04,11,7,
1000275,2012-02-12,2013-02-11,11,7,
1000276,2011-10-15,2012-10-15,17,7,
1000277,2011-11-02,2012-05-03,3,1,
1000278,2012-08-13,2013-02-13,6,1,
1000279,2013-02-10,2014-02-10,7,6,
1000280,2012-05-06,2013-05-06,1,2,
1000281,2011-05-02,2011-11-01,19,3,
1000282,2013-05-03,2014-05-03,15,1,
1000283,2011-10-21,2012-04-21,6,3,
1000284,2010-10-02,2011-04-01,3,7,
1000285,2014-02-01,2015-02-01,14,2,
1000286,2012-09-22,2013-03-25,14,4,
1000287,2012-10-20,2013-10-20,18,6,
1000288,2011-01-18,2012-01-19,11,4,
1000289,2011-04-04,2012-04-03,17,3,
1000290,2012-08-10,2013-02-07,5,5,
1000291,2012-04-08,2013-04-09,6,5,
1000292,2013-11-10,2014-11-10,10,4,
1000293,2012-07-03,2013-07-03,20,3,
1000294,2013-03-12,2014-03-12,3,3,
1000295,2011-04-03,2011-10-04,4,2,
1000296,2013-03-29,2013-09-29,15,4,
1000297,2011-01-04,2012-01-05,11,4,
1000298,2011-11-24,2012-11-24,1,7,
1000299,2012-09-27,2013-03-30,6,5,
1000300,2013-05-28,2013-11-26,17,7,
1000301,2011-09-16,2012-09-16,16,7,
1000302,2011-07-26,2012-07-26,18,7,
1000303,2011-03-02,2012-03-02,3,5,
1000304,2011-07-11,2012-07-11,6,1,
1000305,2014-03-30,2015-03-30,10,6,
1000306,2012-02-09,2012-08-09,17,4,
1000307,2011-10-01,2012-04-01,9,1,
1000308,2012-08-20,2013-08-20,9,4,
1000309,2012-07-23,2013-01-23,10,1,
1000310,2011-06-12,2012-06-12,20,3,
1000311,2011-11-06,2012-11-06,4,4,
1000312,2012-08-11,2013-08-11,4,3,
1000313,2012-08-21,2013-02-18,16,1,
1000314,2010-08-20,2011-08-20,14,4,
1000315,2011-10-07,2012-10-07,2,7,
1000316,2013-01-07,2013-07-07,18,6,
1000317,2013-12-21,2014-06-21,17,6,
1000318,2012-02-14,2013-02-13,12,6,
1000319,2013-01-27,2013-07-30,1,7,
1000320,2013-08-10,2014-08-10,14,1,
1000321,2013-01-10,2013-07-13,6,1,
1000322,2012-05-19,2012-11-17,18,4,
1000323,2011-06-02,2012-06-02,3,1,
1000324,2011-03-30,2012-03-29,1,3,
1000325,2011-01-21,2011-07-24,4,3,
1000326,2011-02-03,2012-02-04,10,3,
1000327,2011-08-05,2012-02-05,6,3,
1000328,2013-08-30,2014-03-02,18,5,
1000329,2012-01-11,2013-01-11,19,1,
1000330,2011-03-12,2012-03-11,7,4,
1000331,2013-02-07,2013-08-07,8,2,
1000332,2012-04-18,2013-04-18,17,4,
1000333,2013-08-08,2014-02-05,3,4,
1000334,2013-07-08,2014-07-08,9,1,
1000335,2012-09-08,2013-09-08,13,7,2013-07-06
1000336,2013-02-10,2014-02-10,8,4,
1000337,2013-02-21,2014-02-21,8,2,
1000338,2013-06-13,2014-06-13,4,1,
1000339,2012-04-09,2012-10-08,14,2,
1000340,2011-10-25,2012-10-25,16,6,
1000341,2012-06-13,2012-12-11,17,1,
1000342,2011-05-09,2012-05-09,12,2,
1000343,2012-11-09,2013-05-09,19,4,
1000344,2012-10-06,2013-04-06,10,2,
1000345,2013-04-24,2014-04-24,3,4,
1000346,2013-05-20,2014-05-20,13,3,
1000347,2013-06-27,2014-06-27,20,2,
1000348,2013-04-01,2013-10-02,4,1,
1000349,2013-04-15,2013-10-16,3,5,
1000350,2013-08-08,2014-02-08,19,4,
1000351,2012-08-06,2013-08-06,9,1,
1000352,2012-10-10,2013-10-10,1,3,
1000353,2011-10-06,2012-04-05,6,5,
1000354,2011-12-22,2012-06-22,7,7,
1000355,2011-03-20,2012-03-20,8,1,2012-01-25
1000356,2013-09-11,2014-09-11,15,3,
1000357,2011-06-06,2012-06-06,14,5,
1000358,2012-05-08,2013-05-08,16,1,
1000359,2012-11-01,2013-05-01,3,3,
1000360,2012-12-27,2013-06-26,17,3,
1000361,2012-07-31,2013-07-31,18,7,
1000362,2013-12-31,2014-12-31,11,4,
1000363,2011-10-12,2012-04-13,9,6,2011-11-17
1000364,2012-10-18,2013-10-18,10,3,
1000365,2014-04-28,2014-10-27,18,5,
1000366,2011-04-22,2012-04-22,13,4,
1000367,2012-09-03,2013-09-03,10,2,
1000368,2011-03-03,2012-03-02,11,7,
1000369,2013-11-02,2014-11-02,4,3,
1000370,2011-07-12,2012-07-12,9,4,
1000371,2011-01-09,2012-01-10,12,3,
1000372,2011-01-23,2012-01-23,19,4,
1000373,2012-06-18,2012-12-18,20,5,
1000374,2012-06-08,2013-06-08,10,2,
1000375,2011-09-24,2012-09-24,9,2,
1000376,2011-12-04,2012-12-04,5,5,
1000377,2011-01-16,2012-01-17,16,7,2011-11-19
1000378,2012-04-02,2012-10-01,7,1,
1000379,2012-12-11,2013-12-11,6,2,
1000380,2011-05-07,2012-05-07,18,7,
1000381,2011-11-20,2012-05-21,1,5,
1000382,2013-02-11,2014-02-11,15,7,
1000383,2012-01-26,2013-01-26,1,6,
1000384,2012-09-20,2013-03-20,1,3,
1000385,2012-12-14,2013-06-16,8,4,
1000386,2012-07-03,2013-07-03,16,7,
1000387,2012-05-12,2012-11-12,18,1,
1000388,2011-09-30,2012-09-30,7,4,
1000389,2014-04-11,2014-10-10,17,3,
1000390,2012-06-30,2012-12-28,2,5,
1000391,2012-08-04,2013-02-04,16,4,
1000392,2013-04-22,2013-10-22,2,6,
1000393,2013-06-23,2013-12-23,6,1,
1000394,2013-02-10,2013-08-10,13,6,
1000395,2010-11-21,2011-11-22,4,7,
1000396,2011-01-23,2011-07-26,13,4,
1000397,2012-10-04,2013-04-06,2,7,
1000398,2013-02-01,2013-08-02,16,1,
1000399,2013-07-12,2014-07-12,2,5,
1000400,2014-01-05,2015-01-05,2,5,
1000401,2012-04-08,2012-10-08,4,4,
1000402,2013-12-12,2014-06-11,4,4,
1000403,2011-03-14,2012-03-14,19,1,
1000404,2012-05-31,2012-12-01,11,3,
1000405,2012-09-20,2013-03-21,17,4,
1000406,2010-08-30,2011-08-30,4,3,
1000407,2013-04-21,2013-10-22,2,7,
1000408,2011-08-10,2012-02-10,2,4,
1000409,2013-12-06,2014-12-06,15,1,
1000410,2011-07-28,2012-07-28,17,1,
1000411,2013-08-16,2014-02-13,18,7,
1000412,2012-11-07,2013-11-07,10,5,
1000413,2013-03-11,2013-09-09,3,1,
1000414,2011-04-21,2011-10-22,3,2,2011-09-01
1000415,2013-04-16,2014-04-16,15,7,
1000416,2013-06-04,2014-06-04,4,3,
1000417,2013-06-07,2013-12-07,6,7,
1000418,2014-03-09,2014-09-07,7,1,
1000419,2012-01-28,2013-01-27,10,7,
1000420,2011-06-27,2011-12-27,4,1,
1000421,2012-11-14,2013-05-14,17,1,
1000422,2012-03-29,2013-03-30,3,2,
1000423,2013-07-09,2014-07-09,6,4,
1000424,2011-11-21,2012-11-21,14,2,
1000425,2012-05-12,2013-05-12,7,6,
1000426,2012-01-07,2012-07-08,18,2,
1000427,2012-03-12,2012-09-11,6,3,
1000428,2011-10-13,2012-04-12,16,1,
1000429,2012-03-25,2013-03-25,14,1,
1000430,2013-02-10,2014-02-10,6,2,
1000431,2013-03-02,2013-08-30,4,4,
1000432,2013-11-21,2014-11-21,7,5,
1000433,2013-02-18,2013-08-18,12,5,
1000434,2013-12-01,2014-12-01,14,6,
1000435,2011-01-18,2012-01-18,18,7,
1000436,2011-08-16,2012-08-16,9,1,
1000437,2013-01-03,2013-07-03,9,3,
1000438,2012-12-30,2013-12-30,11,7,
1000439,2013-03-20,2013-09-20,4,1,2013-06-26
1000440,2013-03-24,2013-09-24,7,3,
1000441,2012-03-07,2013-03-07,18,4,
1000442,2011-02-18,2011-08-21,1,3,
1000443,2011-07-13,2012-01-11,7,2,
1000444,2013-03-11,2013-09-11,17,4,
1000445,2012-01-10,2012-07-12,17,2,
1000446,2013-03-03,2013-09-03,2,5,
1000447,2012-10-05,2013-10-05,5,7,
1000448,2012-03-08,2013-03-09,11,4,
1000449,2013-03-05,2013-09-02,17,1,
1000450,2011-12-28,2012-06-29,19,1,
1000451,2013-12-27,2014-06-27,10,3,
1000452,2012-08-23,2013-02-21,18,3,
1000453,2012-12-15,2013-12-15,18,5,
1000454,2012-03-15,2012-09-15,18,4,
1000455,2011-08-26,2012-02-26,18,5,
1000456,2013-04-17,2013-10-15,19,1,
1000457,2012-01-22,2012-07-24,15,1,
1000458,2011-07-05,2012-07-04,14,4,
1000459,2013-04-28,2014-04-28,8,4,
1000460,2011-07-16,2012-07-16,20,2,
1000461,2011-01-18,2011-07-18,14,6,
1000462,2013-09-11,2014-09-11,17,1,
1000463,2012-08-09,2013-02-09,16,7,
1000464,2012-08-05,2013-02-03,1,2,
1000465,2011-01-21,2012-01-22,9,2,
1000466,2010-10-10,2011-04-09,4,6,2011-01-23
1000467,2011-09-20,2012-03-22,15,3,
1000468,2011-05-05,2012-05-05,7,5,
1000469,2012-07-02,2013-01-01,17,4,
1000470,2011-07-30,2012-01-30,15,2,
1000471,2011-07-21,2012-01-20,1,7,
1000472,2013-05-21,2013-11-18,17,2,
1000473,2010-11-18,2011-05-20,9,2,
1000474,2013-07-07,2014-01-04,2,6,
1000475,2011-04-23,2012-04-23,15,1,
1000476,2011-03-02,2012-03-02,11,1,
1000477,2013-01-26,2013-07-29,3,2,
1000478,2011-03-24,2011-09-24,11,4,
1000479,2011-12-24,2012-12-24,1,6,2012-08-17
1000480,2012-09-08,2013-09-08,12,7,
1000481,2010-11-26,2011-11-26,19,4,
1000482,2012-07-21,2013-01-19,13,2,
1000483,2011-03-25,2012-03-25,7,6,
1000484,2013-06-09,2013-12-07,3,5,
1000485,2012-07-24,2013-01-22,2,6,
1000486,2011-05-11,2012-05-11,4,6,
1000487,2012-03-28,2012-09-26,12,2,
1000488,2011-05-01,2011-10-31,17,3,
1000489,2013-08-23,2014-02-22,1,2,
1000490,2012-01-25,2013-01-25,2,4,
1000491,2013-12-24,2014-06-23,10,1,
1000492,2011-06-14,2011-12-13,3,6,
1000493,2013-03-01,2014-03-01,4,1,
1000494,2013-09-27,2014-03-29,1,5,
1000495,2011-03-05,2012-03-05,10,5,
1000496,2013-11-03,2014-05-06,14,1,
1000497,2012-10-02,2013-10-02,20,7,
1000498,2013-01-25,2013-07-27,10,3,
1000499,2011-12-05,2012-12-05,17,7,
1000500,2013-10-11,2014-10-11,6,7,
1000501,2011-06-18,2012-06-18,13,7,
1000502,2012-05-09,2012-11-09,15,1,
1000503,2011-09-06,2012-09-06,10,3,
1000504,2012-02-04,2013-02-04,11,3,
1000505,2012-01-08,2012-07-08,1,6,
1000506,2012-10-05,2013-10-05,4,6,
1000507,2011-01-24,2011-07-26,10,2,
1000508,2011-04-03,2011-10-02,2,3,
1000509,2013-03-19,2014-03-19,6,7,
1000510,2010-12-12,2011-12-13,17,1,
1000511,2010-10-05,2011-10-06,20,7,
1000512,2011-11-06,2012-11-06,17,7,
1000513,2011-09-25,2012-09-24,8,1,
1000514,2013-06-26,2013-12-25,19,3,
1000515,2012-07-23,2013-07-23,14,3,
1000516,2012-06-19,2012-12-18,10,7,
1000517,2012-11-05,2013-05-08,8,3,
1000518,2012-11-26,2013-05-27,4,6,
1000519,2010-07-06,2011-07-06,8,4,
1000520,2013-08-30,2014-08-30,20,2,
1000521,2014-03-08,2015-03-08,12,7,
1000522,2012-05-08,2013-05-09,4,5,
1000523,2011-08-02,2012-08-02,18,2,
1000524,2013-06-06,2014-06-06,20,7,
1000525,2013-12-02,2014-06-02,11,1,
1000526,2011-10-31,2012-10-31,10,4,
1000527,2013-08-12,2014-08-12,20,5,
1000528,2013-02-11,2013-08-12,2,6,
1000529,2013-06-19,2014-06-19,1,1,
1000530,2011-07-22,2012-01-22,17,2,
1000531,2012-12-29,2013-12-29,12,6,
1000532,2011-11-05,2012-11-05,8,3,
1000533,2012-04-05,2012-10-04,1,5,
1000534,2011-05-15,2012-05-15,16,5,
1000535,2012-03-03,2012-09-02,15,7,
1000536,2011-08-09,2012-08-09,6,5,
1000537,2011-09-17,2012-09-17,8,2,
1000538,2012-12-31,2013-07-02,14,5,
1000539,2011-05-21,2011-11-19,14,5,
1000540,2011-10-11,2012-04-11,11,1,
1000541,2012-03-13,2012-09-10,3,2,
1000542,2012-04-12,2013-04-12,15,6,
1000543,2011-12-17,2012-12-17,1,5,
1000544,2014-01-18,2014-07-19,11,3,
1000545,2012-10-23,2013-10-23,8,7,
1000546,2014-03-28,2014-09-25,17,4,
1000547,2011-03-06,2012-03-05,14,3,
1000548,2011-04-18,2012-04-18,3,6,
1000549,2013-08-17,2014-02-17,18,5,
1000550,2011-06-01,2012-06-01,5,7,
1000551,2011-12-24,2012-06-24,16,1,
1000552,2013-12-12,2014-06-11,15,3,
1000553,2012-07-19,2013-01-19,11,4,
1000554,2011-01-04,2011-07-04,12,4,
1000555,2012-09-04,2013-09-04,15,3,
1000556,2011-06-13,2012-06-13,13,5,
1000557,2013-04-29,2013-10-29,3,5,
1000558,2013-04-15,2013-10-15,18,1,
1000559,2011-05-02,2012-05-02,4,4,2011-08-15
1000560,2012-07-22,2013-07-22,15,7,2013-04-25
1000561,2013-07-18,2014-07-18,8,3,
1000562,2013-07-23,2014-01-23,14,5,
1000563,2011-02-24,2011-08-26,10,2,
1000564,2012-06-14,2012-12-15,10,1,
1000565,2013-03-07,2013-09-04,5,3,
1000566,2013-06-18,2014-06-18,18,7,
1000567,2013-01-06,2013-07-07,10,3,
1000568,2013-02-26,2013-08-29,10,4,
1000569,2011-08-04,2012-08-04,2,6,
1000570,2013-11-28,2014-05-28,1,2,
1000571,2012-07-06,2013-01-03,20,4,
1000572,2013-11-26,2014-11-26,17,1,
1000573,2011-11-22,2012-05-24,20,1,
1000574,2013-12-11,2014-06-11,8,5,
1000575,2011-12-31,2012-12-30,5,5,
1000576,2014-04-03,2015-04-03,8,3,
1000577,2011-03-17,2012-03-17,17,3,
1000578,2014-03-20,2014-09-17,12,4,
1000579,2011-12-01,2012-06-01,18,1,
1000580,2013-06-09,2014-06-09,3,3,
1000581,2011-09-20,2012-03-20,15,2,
1000582,2010-08-21,2011-08-21,18,3,
1000583,2011-01-20,2012-01-20,1,5,2011-06-27
1000584,2013-10-14,2014-04-14,5,4,
1000585,2011-09-24,2012-03-25,8,4,
1000586,2011-02-03,2012-02-04,20,6,2011-12-14
1000587,2010-10-24,2011-10-24,4,3,
1000588,2011-08-26,2012-08-26,15,2,
1000589,2013-09-22,2014-03-25,15,2,
1000590,2011-07-21,2012-01-19,8,5,
1000591,2012-05-18,2012-11-17,8,3,
1000592,2013-10-14,2014-10-14,16,1,
1000593,2011-06-02,2012-06-02,9,6,
1000594,2013-05-05,2014-05-05,10,5,
1000595,2012-12-07,2013-06-09,16,2,
1000596,2013-12-21,2014-06-21,6,3,
